date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-03-27,0,0,0,1,1,5,17,47,126
2020-03-28,0,0,0,1,1,7,18,58,150
2020-03-29,0,0,0,1,1,7,18,65,165
2020-03-30,0,0,0,2,1,7,25,78,182
2020-03-31,0,0,0,2,1,10,29,98,233
2020-04-01,0,0,0,2,1,10,32,98,235
2020-04-02,0,0,0,2,1,11,37,110,271
2020-04-03,0,0,0,2,1,13,38,118,311
2020-04-04,0,0,0,2,1,13,43,128,352
2020-04-05,0,0,0,3,1,12,46,134,362
2020-04-06,0,0,0,3,1,14,46,138,381
2020-04-07,0,0,0,3,1,15,50,148,422
2020-04-08,0,0,0,3,1,16,55,162,467
2020-04-09,0,0,0,4,1,17,61,172,500
2020-04-10,0,0,0,4,1,18,63,178,540
2020-04-11,0,0,0,4,1,19,63,182,561
2020-04-12,0,0,0,4,1,19,65,188,580
2020-04-13,0,0,0,4,1,19,66,192,602
2020-04-14,0,0,0,4,1,19,67,196,612
2020-04-15,0,0,1,4,1,20,70,213,663
2020-04-18,0,0,1,4,2,21,84,240,758
2020-04-19,0,0,1,4,2,23,84,243,777
2020-04-20,0,0,1,4,2,23,85,243,783
2020-04-21,0,0,1,4,2,24,88,253,814
2020-04-22,0,0,1,4,2,24,90,262,833
2020-04-23,0,0,1,4,2,25,94,270,871
2020-04-24,0,0,1,4,2,26,95,275,905
2020-04-25,0,0,1,4,2,27,96,281,916
2020-04-26,0,0,0,4,2,27,97,282,924
2020-04-27,0,0,0,4,2,28,98,283,937
2020-04-28,0,0,0,4,2,28,99,285,961
2020-04-29,0,0,0,4,2,29,100,292,981
2020-04-30,0,0,0,4,2,29,101,296,991
2020-05-01,0,0,0,4,2,30,101,296,1002
2020-05-02,0,0,0,4,2,30,104,307,1020
2020-05-03,0,0,0,4,3,30,104,307,1025
2020-05-04,0,0,0,4,3,30,104,308,1028
2020-05-05,0,0,0,4,3,31,104,309,1032
2020-05-06,0,0,0,4,3,31,106,313,1048
2020-05-07,0,0,0,4,4,31,108,316,1055
2020-05-08,0,0,0,5,4,31,109,317,1060
2020-05-09,0,0,0,5,4,31,111,318,1063
2020-05-10,0,0,0,5,4,31,111,318,1069
2020-05-11,0,0,0,5,4,32,111,319,1072
2020-05-12,0,0,0,5,4,34,114,320,1084
2020-05-13,0,0,0,5,4,34,114,320,1087
2020-05-14,0,0,0,5,4,34,115,325,1106
2020-05-15,0,0,0,5,4,34,115,325,1112
2020-05-16,0,0,0,5,4,34,117,327,1115
2020-05-17,0,0,0,5,4,34,117,327,1116
2020-05-18,0,0,0,5,4,34,117,327,1116
2020-05-19,0,0,0,5,4,34,118,330,1123
2020-05-20,0,0,0,5,4,35,119,331,1135
2020-05-21,0,0,0,5,4,35,120,333,1140
2020-05-22,0,0,0,5,4,35,120,333,1140
2020-05-23,0,0,0,5,4,35,121,333,1142
2020-05-24,0,0,0,5,4,35,121,333,1142
2020-05-25,0,0,0,5,4,36,121,333,1142
2020-05-26,0,0,0,5,4,37,121,335,1146
2020-05-27,0,0,0,5,4,37,122,335,1146
2020-05-28,0,0,0,5,4,37,123,336,1150
2020-05-29,1,0,0,5,4,37,123,336,1151
2020-05-30,1,0,0,5,4,37,123,336,1151
2020-05-31,1,0,0,5,4,37,123,336,1151
2020-06-01,1,0,0,5,4,37,123,336,1151
2020-06-02,1,0,0,5,4,37,123,336,1151
2020-06-03,1,0,0,5,4,37,124,336,1153
2020-06-04,1,0,0,5,4,37,124,336,1153
2020-06-05,1,0,0,5,4,37,124,336,1153
2020-06-06,1,0,0,5,4,37,124,336,1154
2020-06-07,1,0,0,5,4,37,124,336,1154
2020-06-08,1,0,0,5,4,37,124,336,1154
2020-06-09,1,0,0,5,4,38,124,336,1155
2020-06-10,1,0,0,5,4,40,124,338,1163
2020-06-11,1,0,0,5,4,40,124,338,1163
2020-06-12,1,0,0,5,4,40,124,339,1164
2020-06-13,1,0,0,5,4,40,124,339,1164
2020-06-14,1,0,0,5,4,40,124,339,1164
2020-06-15,1,0,0,5,4,40,124,339,1164
2020-06-16,1,0,0,5,4,40,125,339,1164
2020-06-17,1,0,0,5,4,40,125,339,1164
2020-06-18,1,0,0,5,4,40,125,339,1164
2020-06-19,1,0,0,5,4,40,125,339,1166
2020-06-20,1,0,0,5,4,40,125,339,1166
2020-06-21,1,0,0,5,4,40,125,339,1166
2020-06-22,1,0,0,5,4,40,125,339,1166
2020-06-23,1,0,0,5,4,40,125,339,1166
2020-06-24,1,0,0,5,4,41,125,339,1167
2020-06-25,1,0,0,5,4,41,125,339,1167
2020-06-26,1,0,0,5,4,41,125,339,1167
2020-06-27,1,0,0,5,4,41,125,339,1167
2020-06-28,1,0,0,5,4,41,125,339,1167
2020-06-29,1,0,0,5,4,41,125,339,1167
2020-06-30,1,0,0,5,4,41,125,339,1169
2020-07-01,1,0,0,5,4,41,126,339,1169
2020-07-02,1,0,0,5,4,41,127,339,1169
2020-07-03,1,0,0,5,4,41,127,339,1169
2020-07-04,1,0,0,5,4,41,127,339,1169
2020-07-05,1,0,0,5,4,41,127,339,1169
2020-07-06,1,0,0,5,4,41,127,339,1169
2020-07-07,1,0,0,5,4,41,127,339,1169
2020-07-08,1,0,0,5,4,41,127,339,1169
2020-07-09,1,0,0,5,4,41,127,339,1169
2020-07-10,1,0,0,5,4,41,127,339,1169
2020-07-11,1,0,0,5,4,41,127,339,1169
2020-07-12,1,0,0,5,4,41,127,339,1169
2020-07-13,1,0,0,5,4,41,127,339,1169
2020-07-14,1,0,0,5,4,41,127,340,1170
2020-07-15,1,0,0,5,4,41,127,340,1170
2020-07-16,1,0,0,5,4,41,127,340,1170
2020-07-17,1,0,0,5,4,41,127,340,1170
2020-07-18,1,0,0,5,4,41,127,340,1170
2020-07-19,1,0,0,5,4,41,127,340,1170
2020-07-20,1,0,0,5,4,41,127,340,1170
2020-07-21,1,0,0,5,4,41,127,342,1171
2020-07-22,1,0,0,5,4,41,128,342,1172
2020-07-23,1,0,0,5,4,41,129,342,1172
2020-07-24,1,0,0,5,4,41,130,346,1173
2020-07-25,1,0,0,5,5,41,130,346,1173
2020-07-26,1,0,0,5,5,41,130,346,1173
2020-07-27,1,0,0,5,5,41,130,346,1173
2020-07-28,1,0,0,5,6,41,130,347,1174
2020-07-29,1,0,0,5,5,41,130,347,1174
2020-07-30,1,0,0,5,5,41,130,347,1175
2020-07-31,1,0,0,5,5,41,130,347,1176
2020-08-01,1,0,0,5,6,41,130,347,1177
2020-08-02,1,0,0,5,6,41,130,347,1177
2020-08-03,1,0,0,5,6,41,130,347,1177
2020-08-04,1,0,0,5,5,41,130,347,1177
2020-08-05,1,0,0,5,5,41,130,347,1177
2020-08-06,1,0,0,5,6,41,130,348,1178
2020-08-07,1,0,0,5,6,41,130,350,1179
2020-08-08,1,0,0,5,5,42,130,350,1179
2020-08-09,1,0,0,5,5,42,130,350,1179
2020-08-10,1,0,0,5,5,42,130,350,1179
2020-08-11,1,0,0,5,5,42,130,350,1180
2020-08-12,1,0,0,5,5,42,131,350,1180
2020-08-13,1,0,1,5,5,42,131,350,1180
2020-08-14,1,0,1,5,5,42,131,350,1181
2020-08-15,1,0,0,5,5,42,131,350,1181
2020-08-16,1,0,0,5,5,42,131,350,1182
2020-08-17,1,0,0,5,5,42,131,350,1182
2020-08-18,1,0,0,5,5,42,132,350,1182
2020-08-19,1,0,0,5,6,42,133,350,1182
2020-08-20,1,0,0,5,6,42,133,350,1182
2020-08-21,1,0,0,5,6,42,133,350,1182
2020-08-22,1,0,0,5,6,42,133,350,1183
2020-08-23,1,0,0,5,6,42,133,350,1183
2020-08-24,1,0,0,5,6,43,133,350,1183
2020-08-25,1,0,0,5,6,44,133,350,1183
2020-08-26,1,0,0,5,6,44,133,350,1183
2020-08-27,1,0,0,5,6,44,133,351,1183
2020-08-28,1,0,0,5,6,44,134,351,1183
2020-08-29,1,0,0,5,6,43,134,351,1184
2020-08-30,1,0,0,5,6,43,134,351,1184
2020-08-31,1,0,0,5,6,44,134,351,1184
2020-09-01,1,0,0,5,6,44,134,351,1185
2020-09-02,1,0,0,5,6,44,134,351,1185
2020-09-03,1,0,0,5,6,44,134,351,1188
2020-09-04,1,0,0,5,6,44,135,351,1189
2020-09-05,1,0,0,5,6,44,135,351,1189
2020-09-06,1,0,0,5,6,44,135,351,1190
2020-09-07,1,0,0,5,6,44,135,351,1191
2020-09-08,1,0,0,5,6,44,135,351,1191
2020-09-09,1,0,0,5,6,44,135,352,1191
2020-09-10,1,0,0,5,6,44,135,352,1193
2020-09-11,1,0,0,5,6,44,135,352,1196
2020-09-12,1,0,0,5,6,45,137,352,1196
2020-09-13,1,0,0,5,6,45,138,352,1199
2020-09-14,1,0,0,5,6,45,138,352,1199
2020-09-15,1,0,0,5,6,45,138,352,1200
2020-09-16,1,0,0,5,6,45,138,352,1207
2020-09-17,1,0,0,5,6,45,138,352,1214
2020-09-18,1,0,0,5,6,45,138,353,1216
2020-09-21,1,0,0,5,6,45,138,355,1219
2020-09-22,1,0,0,5,6,45,138,355,1222
2020-09-23,1,0,0,5,6,45,138,355,1222
2020-09-24,1,0,0,5,6,45,138,356,1224
2020-09-25,1,0,0,5,6,45,138,356,1226
2020-09-28,1,0,0,5,6,45,138,356,1228
2020-09-29,1,0,0,5,6,45,138,357,1229
2020-09-30,1,0,0,5,6,45,138,357,1230
2020-10-01,1,0,0,5,6,45,138,358,1230
2020-10-02,1,0,0,5,6,45,138,358,1230
2020-10-05,1,0,0,5,6,45,138,358,1233
2020-10-06,1,0,0,5,6,45,138,358,1233
