Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
03/02/2020,308,294,323,226,213,239,,,,,,
03/03/2020,327,310,344,263,249,278,,,,,,
03/04/2020,452,433,468,329,313,345,,,,,,
03/05/2020,507,486,530,398,381,416,,,,,,
03/06/2020,761,736,791,512,491,533,2.26,2.17,2.34,2.33,2.28,2.38
03/07/2020,982,950,1011,675,651,700,2.57,2.48,2.64,2.55,2.49,2.6
03/08/2020,1340,1306,1368,898,869,925,2.73,2.64,2.81,2.9,2.84,2.95
03/09/2020,1986,1944,2032,1267,1234,1300,3.18,3.09,3.26,3.1,3.05,3.15
03/10/2020,2569,2529,2613,1719,1682,1756,3.36,3.28,3.44,3.19,3.15,3.24
03/11/2020,3240,3189,3293,2284,2242,2326,3.38,3.32,3.46,3.1,3.06,3.14
03/12/2020,3620,3564,3683,2854,2806,2905,3.18,3.13,3.24,2.85,2.82,2.89
03/13/2020,4397,4336,4460,3457,3404,3512,2.73,2.68,2.77,2.52,2.49,2.54
03/14/2020,4469,4414,4519,3931,3876,3989,2.29,2.26,2.31,2.2,2.18,2.21
03/15/2020,4724,4661,4786,4302,4244,4362,1.88,1.86,1.91,2,1.99,2.02
03/16/2020,6026,5953,6090,4904,4841,4964,1.72,1.7,1.74,1.75,1.74,1.76
03/17/2020,5229,5163,5299,5112,5048,5173,1.48,1.46,1.5,1.56,1.55,1.57
03/18/2020,5322,5255,5399,5325,5258,5393,1.35,1.34,1.37,1.4,1.39,1.4
03/19/2020,4715,4645,4782,5323,5254,5392,1.24,1.22,1.25,1.23,1.23,1.24
03/20/2020,5308,5244,5369,5144,5077,5212,1.05,1.04,1.06,1.13,1.12,1.13
03/21/2020,4437,4366,4511,4945,4877,5015,0.97,0.96,0.97,1.03,1.03,1.04
03/22/2020,3841,3776,3913,4575,4508,4644,0.86,0.85,0.87,0.98,0.97,0.98
03/23/2020,5163,5101,5229,4687,4622,4755,0.88,0.87,0.89,0.92,0.91,0.92
03/24/2020,4118,4046,4192,4390,4322,4461,0.85,0.85,0.86,0.89,0.89,0.9
03/25/2020,4407,4347,4469,4382,4317,4450,0.89,0.88,0.9,0.9,0.89,0.9
03/26/2020,4017,3965,4085,4426,4365,4493,0.97,0.96,0.98,0.89,0.88,0.89
03/27/2020,4129,4062,4189,4168,4105,4233,0.89,0.88,0.9,0.9,0.89,0.9
03/28/2020,3892,3843,3955,4111,4054,4174,0.94,0.93,0.95,0.91,0.9,0.91
03/29/2020,3317,3258,3378,3839,3782,3901,0.88,0.87,0.89,0.9,0.9,0.91
03/30/2020,4381,4315,4455,3930,3869,3994,0.89,0.88,0.9,0.92,0.91,0.93
03/31/2020,3577,3506,3644,3792,3730,3858,0.91,0.9,0.92,0.92,0.92,0.93
04/01/2020,4021,3964,4082,3824,3760,3889,0.93,0.92,0.94,0.93,0.93,0.94
04/02/2020,3749,3687,3808,3932,3868,3997,1.02,1.01,1.03,0.94,0.94,0.95
04/03/2020,3749,3692,3813,3774,3712,3837,0.96,0.95,0.97,0.93,0.93,0.94
04/04/2020,3044,2989,3112,3641,3583,3704,0.96,0.95,0.97,0.92,0.92,0.93
04/05/2020,2733,2674,2794,3319,3260,3382,0.87,0.86,0.88,0.9,0.89,0.9
04/06/2020,3354,3299,3418,3220,3163,3284,0.82,0.81,0.83,0.89,0.88,0.9
04/07/2020,3094,3036,3155,3056,2999,3119,0.81,0.8,0.82,0.88,0.87,0.88
04/08/2020,2900,2844,2968,3020,2963,3083,0.83,0.82,0.84,0.85,0.85,0.86
04/09/2020,2710,2649,2764,3014,2957,3076,0.91,0.89,0.92,0.83,0.83,0.84
04/10/2020,2330,2274,2386,2758,2701,2818,0.86,0.84,0.87,0.81,0.8,0.81
04/11/2020,2008,1952,2057,2487,2430,2544,0.81,0.8,0.82,0.81,0.81,0.82
04/12/2020,1978,1926,2027,2257,2200,2308,0.75,0.74,0.76,0.78,0.78,0.79
04/13/2020,1920,1865,1982,2059,2004,2113,0.68,0.67,0.69,0.78,0.78,0.79
04/14/2020,1982,1934,2044,1972,1919,2027,0.71,0.7,0.73,0.78,0.77,0.78
04/15/2020,1943,1892,1990,1956,1904,2010,0.79,0.77,0.8,0.76,0.75,0.77
04/16/2020,1777,1727,1826,1906,1854,1960,0.84,0.83,0.86,0.78,0.78,0.79
04/17/2020,1665,1617,1717,1842,1792,1894,0.89,0.88,0.91,0.8,0.8,0.81
04/18/2020,1461,1418,1507,1712,1663,1760,0.87,0.85,0.89,0.81,0.8,0.82
04/19/2020,1314,1273,1366,1554,1508,1604,0.79,0.78,0.81,0.84,0.83,0.85
04/20/2020,1566,1517,1610,1502,1456,1550,0.79,0.77,0.8,0.84,0.83,0.84
04/21/2020,1367,1319,1416,1427,1382,1474,0.77,0.76,0.79,0.82,0.81,0.83
04/22/2020,1310,1267,1358,1389,1344,1437,0.81,0.79,0.83,0.83,0.82,0.84
04/23/2020,1297,1257,1348,1385,1340,1433,0.89,0.87,0.91,0.81,0.8,0.82
04/24/2020,1156,1119,1206,1283,1240,1332,0.85,0.84,0.87,0.81,0.81,0.82
04/25/2020,1030,990,1065,1198,1158,1244,0.84,0.82,0.86,0.83,0.82,0.84
04/26/2020,925,894,961,1102,1065,1145,0.79,0.78,0.81,0.82,0.81,0.83
04/27/2020,1121,1085,1159,1058,1022,1098,0.76,0.75,0.78,0.82,0.81,0.83
04/28/2020,943,902,980,1005,968,1041,0.78,0.76,0.8,0.81,0.8,0.82
04/29/2020,877,843,919,966,931,1005,0.81,0.79,0.83,0.81,0.8,0.82
04/30/2020,942,900,976,971,933,1009,0.88,0.86,0.9,0.81,0.8,0.82
05/01/2020,807,763,844,892,852,930,0.84,0.82,0.86,0.82,0.8,0.83
05/02/2020,738,699,784,841,801,881,0.84,0.81,0.86,0.84,0.83,0.86
05/03/2020,777,734,820,816,774,856,0.84,0.82,0.87,0.86,0.84,0.87
05/04/2020,907,871,951,807,767,850,0.83,0.81,0.86,0.88,0.87,0.9
05/05/2020,826,779,877,812,771,858,0.91,0.88,0.94,0.91,0.89,0.92
05/06/2020,768,729,811,820,778,865,0.97,0.94,1.01,0.89,0.88,0.91
05/07/2020,714,674,756,804,763,849,0.99,0.95,1.02,0.9,0.88,0.92
05/08/2020,671,636,707,745,705,788,0.92,0.89,0.96,0.89,0.88,0.91
05/09/2020,587,554,624,685,648,725,0.84,0.81,0.88,0.87,0.85,0.89
05/10/2020,546,510,588,629,593,669,0.77,0.73,0.8,0.86,0.85,0.88
05/11/2020,663,627,705,617,582,656,0.77,0.74,0.8,0.85,0.83,0.87
05/12/2020,646,600,683,610,573,650,0.82,0.79,0.86,0.84,0.82,0.86
05/13/2020,573,522,620,607,565,649,0.89,0.85,0.93,0.84,0.82,0.86
05/14/2020,519,479,566,600,557,643,0.95,0.91,1,0.88,0.85,0.91
05/15/2020,670,600,746,602,550,654,0.98,0.92,1.02,0.9,0.87,0.93
05/16/2020,515,462,571,569,516,626,0.93,0.88,0.99,0.92,0.89,0.95
05/17/2020,447,388,501,538,482,596,0.89,0.83,0.94,0.94,0.9,0.98
05/18/2020,594,502,674,557,488,623,0.93,0.85,1.01,0.9,0.86,0.94
05/19/2020,453,382,524,502,434,567,0.83,0.77,0.91,0.9,0.85,0.94
05/20/2020,509,403,612,501,419,578,0.88,0.8,0.96,0.87,0.82,0.92
05/21/2020,323,234,416,470,380,556,0.87,0.79,0.97,0.79,0.74,0.84
05/22/2020,277,183,379,390,300,483,0.7,0.63,0.8,0.76,0.7,0.81
05/23/2020,245,139,389,338,239,449,0.68,0.57,0.79,,,
